Luas Bangunan,Luas Tanah,Jumlah Lantai,Lokasi,Tipe Perumahan,Pagar,Bentuk Tanah,Lebar Jalan,Daya Listrik,Jumlah Carport & Garasi Dalam,Material ,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Air,Jumlah Fasilitas Tambahan,Harga
-0.885711669,-0.550805816,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,0.538598257,-0.725761877,-1.429970175,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-1.288744212,-0.726077229
1.337907301,1.08380034,1.760048292,0.299936862,-0.877311761,-0.858888464,-0.102062073,1.032914057,0.913606128,-0.246546582,0.50243878,0.993569163,0.115307178,-0.805687611,-1.288744212,1.677546483
0.907529436,-0.421757962,1.760048292,0.299936862,-0.877311761,-0.858888464,-0.102062073,2.515861458,-0.725761877,-1.429970175,-0.703414292,1.852872223,0.905984972,-0.805687611,-0.721223825,-0.31808206
-0.096685583,-0.421757962,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,-0.725761877,-1.429970175,-0.703414292,0.134266103,-0.675370616,-0.805687611,-1.288744212,-0.406776662
0.620610859,-0.744377598,1.760048292,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,0.993569163,0.115307178,-0.805687611,-1.288744212,-0.632947897
0.764070147,0.481577019,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,1.527229858,0.913606128,0.936877011,0.50243878,0.993569163,0.115307178,-0.805687611,-1.288744212,0.16973825
-0.885711669,-0.73362361,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,-0.725036957,0.115307178,-0.805687611,-1.288744212,-0.584165866
-0.813982025,-0.43251195,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.044282457,-0.725761877,-1.429970175,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-1.288744212,-0.584165866
1.59613402,0.868720582,1.760048292,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,0.913606128,2.120300604,0.50243878,1.852872223,0.905984972,1.28474511,-0.153703438,1.056684269
-0.727906452,-0.679853671,-0.538790294,0.299936862,-0.877311761,1.152167452,-0.102062073,0.044282457,-0.725761877,-1.429970175,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-1.288744212,-0.761555069
-0.670522736,-0.486281889,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-1.288744212,-0.584165866
-0.240144871,-0.550805816,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,1.032914057,0.913606128,-0.246546582,-0.703414292,0.134266103,0.115307178,0.239528749,-1.288744212,-0.455558693
1.337907301,0.653640825,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,0.993569163,0.905984972,1.28474511,-0.721223825,0.302780153
1.294869515,1.643007709,-0.538790294,-3.299305482,-0.877311761,1.152167452,-0.102062073,0.538598257,0.913606128,-0.246546582,0.50243878,1.852872223,0.905984972,0.239528749,-1.288744212,2.165366793
2.055203743,1.836579491,1.760048292,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.044282457,0.913606128,5.670571383,1.708291853,0.993569163,0.905984972,1.28474511,-1.288744212,1.677546483
0.333692282,-0.066876362,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,4.987440459,0.913606128,0.936877011,0.50243878,0.134266103,0.115307178,-0.805687611,-1.288744212,0.746253163
-0.240144871,-0.066876362,-0.538790294,0.299936862,1.127972264,-0.858888464,-0.102062073,0.538598257,0.913606128,-1.429970175,-0.703414292,0.993569163,-0.675370616,0.239528749,-0.721223825,-0.362429361
-0.096685583,-0.034614398,-0.538790294,0.299936862,1.127972264,-0.858888464,-0.102062073,1.527229858,0.913606128,0.936877011,0.50243878,0.134266103,0.115307178,0.239528749,-1.288744212,0.435822056
-0.240144871,-0.787393549,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,-1.45436988,-0.246546582,-0.703414292,0.993569163,-0.675370616,-0.805687611,-1.288744212,-0.695034118
2.055203743,3.826067246,1.760048292,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.044282457,0.913606128,2.120300604,0.50243878,2.712175283,0.905984972,1.28474511,-1.288744212,2.96361821
